name,type,latitude,longitude
A Ital Cosnea,LOG,46.431766,26.078825
OS Comanesti Depozit Negru,LOG,46.610034,26.266235
OS Manastirea Casin,LOG,46.113079,26.654046
Ray Wood Exploatare,LOG,47.529717,25.798907
OS Pipirig,LOG,47.24822,26.057305
Bradwood ,LOG,47.33802,26.32257
OS Borca Depozit Sabasa,LOG,47.217636,25.841271
Doi Vulpoi,LOG,47.874256,23.944242
Bradul Maneciu,LOG,45.298266,25.990885
Forest Vim,LOG,47.920163,25.584944
Caruselu,LOG,47.432178,24.401245
GreenGold Forest Value depozit Maneciu,LOG,45.29555,25.97308
1Mari si Mada temporar Sercaita,LOG,45.708418,25.1114893
Valentin Alina,LOG,45.5912682,25.4334948
Tilan Granit,LOG,46.792966,25.445169
Dampi Pallets,LOG,47.580977,26.062902
Agrosomes Unic,LOG,47.383374,24.69389
Raluxia,LOG,45.517871,24.278004
Laurean,LOG,46.062074,23.58783
Albin Tery trans Dulcea,LOG,46.760494,25.02899
Harghita Timber,LOG,46.522982,25.742197
Depozit Potoci HSR,LOG,46.97604,26.1163
Murgoi,LOG,45.509707,23.126724
Ascunsu ,LOG,47.909197,25.46572
Leopet Com,LOG,47.837308,24.196615
Davidim Trans Dep Dragoiasa,LOG,47.16266,25.44017
Topoleu,LOG,47.864562,24.193213
Pazzoti Euro,LOG,46.497433,25.750575
Iulian Transfor Petrila,LOG,45.439102,23.413272
Danada Petrosani,LOG,45.423655,23.3586
Banaforest Mar,LOG,45.560065,26.884923
Transforest Mis INCHIS,LOG,45.484048,23.035707
Fury Forest,LOG,47.89648,25.60692
Antovladi Company,LOG,47.095214,25.976956
OS Carlibaba,LOG,47.572926,25.121845
Andrei & Dumitrita,LOG,46.759411,25.037928
Andrei & Dumitrita Reghin,LOG,46.788048,24.7293
Emivas,LOG,47.18694,25.42549
Matecrisbert,LOG,45.950625,26.49601
Rumipet,LOG,47.169859,25.7997
OS Tulghes,LOG,46.72656,25.632268
Emimagricom,LOG,46.813414,24.979955
Cristalin,LOG,46.969203,22.856746
Explosiv Group Gheorgheni,LOG,46.714585,25.560424
Tomion,LOG,45.09924,23.6228
OS Telciu Depozit,LOG,47.436615,24.410431
Austro Somes Trading D. Huedin,LOG,46.855008,23.045116
Proiect Dinamic Logistic,LOG,47.651187,23.59678
Balint Imre Csaba,LOG,46.356587,25.964138
Vilagi Trans Comanesti,LOG,46.413183,26.470017
Saniral ,LOG,47.36138,26.27827
Rigeti,LOG,47.3577,26.2821
Ionut Alexandru,LOG,47.633324,24.44287
Divertis Deo,LOG,45.993803,26.8860733
Vor Zakone 2,LOG,47.684108,24.796736
Generaly Crys Trans Salatrucu,LOG,45.35734765,24.50389062
Darion Reghin,LOG,46.7803,24.7327
OS Comandau HOLOM,LOG,45.743008,26.358085
Crinanic Forest ,LOG,45.911343,26.924114
OS Valea Hategului Densus Hatagel,LOG,45.578218,22.824
Exploatarea Forestiera Temporar Filia,LOG,46.221943,25.623706
Danada PUI,LOG,45.5111545,23.094633
Lyadorforexpes Lepsa,LOG,45.970627,26.561307
Lavione Tex dep. temporar Belis,LOG,46.617957,22.95828
OS Ciobanus,LOG,46.435665,26.385825
Exploalis,LOG,46.735746,22.338607
Ronvex Wood Trans,LOG,47.511588,26.538715
Bancioiu Trans,LOG,45.677076,24.218896
OS Brosteni,LOG,47.179103,25.60704
OS Tazlau,LOG,46.720123,26.465509
Farahidi Com,LOG,47.653215,24.516805
Sabyval Wood Scheia,LOG,47.648367,26.188763
NicuBen,LOG,47.821292,24.451008
Alexforcam depozit Scheia,LOG,47.648367,26.188763
Silvgan,LOG,47.55352599,24.43653459
Maranatha Aiud,LOG,46.307355,23.733897
IF Turta Vasile,LOG,47.898338,25.589859
Popcrist Trans,LOG,45.149827,25.446073
Darimar Run,LOG,47.051075,25.490411
Austro Somes Trading Valea Draganului,LOG,46.82926,22.769535
Milinluc Soimi,LOG,46.680622,22.117299
Keviforest Delnita,LOG,46.415484,25.8282
